,Fecha,llamadas,predicciones
132,2017-03-19,8.0,9.502088547005862
133,2017-03-20,10.0,17.220185612554516
134,2017-03-21,13.0,14.501922315430287
135,2017-03-22,14.0,16.07141626271602
136,2017-03-23,11.0,16.279681516164644
137,2017-03-24,10.0,14.820548484452093
138,2017-03-25,7.0,9.995696446752198
139,2017-03-26,11.0,10.08518889414948
140,2017-03-27,20.0,18.96948665398537
141,2017-03-28,14.0,20.33292578686646
142,2017-03-29,7.0,16.65451660985964
143,2017-03-30,16.0,12.19797908615932
144,2017-03-31,13.0,17.736050220170178
145,2017-04-01,4.0,12.100087930019706
146,2017-04-02,3.0,8.690978294555284
147,2017-04-03,6.0,14.659774318673087
148,2017-04-04,13.0,12.524611368692476
149,2017-04-05,11.0,16.42650670455268
150,2017-04-06,6.0,14.885470916570446
