,FECHA_ALTA,llamadas,0
146,2017-04-02,3,8.690978294555288
147,2017-04-03,6,14.659774318673099
148,2017-04-04,13,12.524611368692474
149,2017-04-05,11,16.42650670455268
150,2017-04-06,6,14.885470916570458
151,2017-04-07,8,12.260137190570664
152,2017-04-08,7,9.184586194301621
153,2017-04-09,11,10.44027933598614
154,2017-04-10,6,19.32457709582204
155,2017-04-11,15,12.524611368692474
156,2017-04-12,18,17.592707398839913
157,2017-04-13,7,18.96717334657578
158,2017-04-14,5,12.84323753771428
159,2017-04-15,11,7.435285152870769
160,2017-04-16,4,12.772680724560612
161,2017-04-17,10,15.242874665816716
162,2017-04-18,13,14.857012757266943
163,2017-04-19,18,16.42650670455268
164,2017-04-20,14,18.96717334657578
165,2017-04-21,11,16.924939967719602
166,2017-04-22,13,10.933887235732474
